site,LATITUDE,LONGITUDE,tmin_jan,tmin_feb,tmin_mar,tmin_apr,tmin_may,tmin_jun,tmin_jul,tmin_aug,tmin_sep,tmin_oct,tmin_nov,tmin_dec,tmax_jan,tmax_feb,tmax_mar,tmax_apr,tmax_may,tmax_jun,tmax_jul,tmax_aug,tmax_sep,tmax_oct,tmax_nov,tmax_dec,prcp_jan,prcp_feb,prcp_mar,prcp_apr,prcp_may,prcp_jun,prcp_jul,prcp_aug,prcp_sep,prcp_oct,prcp_nov,prcp_dec
0,48.75,-122.25,-3.09,-3.23,-1.56,0.75,4.51,7.54,10.41,10.83,8.24,3.9,-0.42,-3.06,2.76,4.11,6.21,9.41,13.52,15.67,19.35,19.77,16.79,10.81,5.22,2.06,2607,1739,2131,1522,1116,883,457,562,1011,1994,2883,2530
1,48.75,-121.75,-4.3,-4.23,-1.96,0.85,5.03,7.79,10.59,10.84,7.96,3.32,-1.12,-4.81,1.25,2.57,4.97,9.08,14.54,16.84,20.48,20.77,17.93,11.3,4.73,0.84,2505,1569,1870,1268,988,873,503,508,905,1887,2743,2371
2,48.75,-121.25,-8.09,-8.48,-6.21,-3.0,2.02,5.19,8.25,8.47,5.27,0.24,-4.74,-8.84,-1.92,-1.3,0.38,3.61,11.08,14.7,18.54,19.01,15.7,8.22,1.25,-2.33,2240,1454,1709,1165,964,889,507,499,845,1736,2495,2170
3,48.75,-120.75,-10.74,-10.72,-8.71,-6.27,-2.9,0.43,4.62,4.88,1.63,-3.66,-9.34,-12.0,-4.8,-3.42,-1.15,1.97,6.6,10.08,16.07,16.86,12.8,4.78,-2.3,-5.96,1775,1169,1227,732,537,580,301,318,460,1149,1865,1715
4,48.75,-120.25,-10.84,-10.2,-8.07,-5.11,-1.91,1.8,6.33,6.68,2.89,-3.01,-9.61,-12.2,-4.43,-2.84,-0.04,3.6,8.61,13.25,19.25,19.34,14.52,5.91,-1.73,-5.67,1119,754,843,579,530,619,348,312,356,785,1250,1144
5,48.75,-119.75,-11.78,-11.67,-9.08,-5.72,-0.2,3.18,6.52,6.6,3.15,-2.07,-7.75,-12.32,-4.11,-3.14,-0.7,2.94,10.62,15.22,19.75,19.58,15.17,6.92,-0.67,-4.67,792,582,665,547,684,677,382,296,375,630,891,852
6,48.75,-119.25,-10.81,-9.0,-4.58,-1.15,3.46,6.89,10.3,10.3,6.24,0.38,-4.87,-10.33,-2.52,0.4,5.87,11.36,17.41,21.14,26.46,26.15,20.84,11.9,2.96,-2.42,384,287,341,316,462,476,255,174,203,294,418,453
7,48.75,-118.75,-12.24,-11.37,-7.02,-2.23,2.39,5.8,9.32,9.38,5.09,-0.62,-6.05,-12.21,-4.48,-2.5,1.5,8.86,15.02,18.66,24.35,24.88,19.56,10.08,0.9,-4.58,644,466,548,463,598,606,307,211,288,484,702,720
8,48.75,-118.25,-11.9,-10.99,-6.36,-1.32,3.76,7.26,11.02,10.99,6.42,0.26,-5.53,-11.83,-4.04,-2.13,2.58,10.07,16.25,19.86,26.21,26.89,21.19,11.37,1.6,-4.06,662,464,578,497,603,644,303,188,296,500,734,740
9,48.75,-117.75,-12.25,-11.67,-7.44,-2.14,3.41,7.01,10.75,10.36,5.85,-0.08,-6.2,-12.48,-4.56,-2.87,0.57,7.61,15.22,18.46,23.96,24.39,19.2,9.94,0.65,-4.86,934,637,772,623,708,768,350,219,360,671,1029,1016
10,48.75,-117.25,-12.25,-11.67,-7.44,-2.14,3.41,7.01,10.75,10.36,5.85,-0.08,-6.2,-12.48,-4.56,-2.87,0.57,7.61,15.22,18.46,23.96,24.39,19.2,9.94,0.65,-4.86,934,637,772,623,708,768,350,219,360,671,1029,1016
