site,name,latitude,longitude,altitude
0,CONUS_48.75_-122.25,48.75,-122.25,326.6
1,CONUS_48.75_-121.75,48.75,-121.75,515.5
2,CONUS_48.75_-121.25,48.75,-121.25,505.6
3,CONUS_48.75_-120.75,48.75,-120.75,332.3
4,CONUS_48.75_-120.25,48.75,-120.25,436.4
5,CONUS_48.75_-119.75,48.75,-119.75,525.1
6,CONUS_48.75_-119.25,48.75,-119.25,336.8
7,CONUS_48.75_-118.75,48.75,-118.75,230.7
8,CONUS_48.75_-118.25,48.75,-118.25,374.3
9,CONUS_48.75_-117.75,48.75,-117.75,259.3
10,CONUS_48.75_-117.25,48.75,-117.25,318.9
11,CONUS_48.75_-116.75,48.75,-116.75,382.8
12,CONUS_48.75_-116.25,48.75,-116.25,372.7
13,CONUS_48.75_-115.75,48.75,-115.75,284.5
14,CONUS_48.75_-115.25,48.75,-115.25,317.9
15,CONUS_48.75_-114.75,48.75,-114.75,364.8
16,CONUS_48.75_-114.25,48.75,-114.25,337.5
17,CONUS_48.75_-113.75,48.75,-113.75,377.1
18,CONUS_48.75_-95.75,48.75,-95.75,15.2
19,CONUS_48.75_-95.25,48.75,-95.25,21.4
20,CONUS_48.75_-94.75,48.75,-94.75,16.8
21,CONUS_48.25_-124.25,48.25,-124.25,177.0
22,CONUS_48.25_-122.75,48.25,-122.75,75.7
23,CONUS_48.25_-122.25,48.25,-122.25,224.1
24,CONUS_48.25_-121.75,48.25,-121.75,362.1
25,CONUS_48.25_-121.25,48.25,-121.25,462.0
26,CONUS_48.25_-120.75,48.25,-120.75,473.2
27,CONUS_48.25_-120.25,48.25,-120.25,504.7
28,CONUS_48.25_-119.25,48.25,-119.25,305.7
29,CONUS_48.25_-118.75,48.25,-118.75,247.1
30,CONUS_48.25_-118.25,48.25,-118.25,251.9
31,CONUS_48.25_-117.75,48.25,-117.75,248.1
32,CONUS_48.25_-117.25,48.25,-117.25,219.6
33,CONUS_48.25_-116.75,48.25,-116.75,263.1
34,CONUS_48.25_-116.25,48.25,-116.25,370.3
35,CONUS_48.25_-115.75,48.25,-115.75,393.6
36,CONUS_48.25_-115.25,48.25,-115.25,225.5
37,CONUS_48.25_-114.75,48.25,-114.75,192.9
38,CONUS_48.25_-114.25,48.25,-114.25,237.7
39,CONUS_48.25_-113.75,48.25,-113.75,345.8
40,CONUS_48.25_-113.25,48.25,-113.25,240.9
41,CONUS_48.25_-95.25,48.25,-95.25,5.8
42,CONUS_48.25_-94.75,48.25,-94.75,6.2
