Group,Genus,Individual,Scientific name,Common name,AGEmax,DBHmax,Hmax,s,g,bulk,D_L,L_C,DEGDmin,DEGDoptimum,DEGDmax,l,d,f,n,fire,stress,old,evergreen,invader,seed,sprout,NDE,NDS,Species_code
1,Acer',1,Acer_rubrum',Red_maple',150,151,41,0.72,2.395,0.49,0.15,0.316,988,4206,7424,2,2,1,1,1,3,3,0,1,10,1,0.31,0.78,ACERrubr
1,Acer',2,Acer_saccharum',Sugar_maple',300,219,58,0.71,1.676,0.56,0.15,0.316,828,2451,4074,2,5,3,2,3,4,3,0,1,10,1,0.31,0.78,ACERsacc
1,Acer',3,Acer_negundo',Boxelder',75,91,18,0.37,3.000,0.44,0.15,0.316,1323,3161,4999,3,3,1,2,2,3,3,0,1,10,1,0.31,0.78,ACERnegu
1,Acer',4,Acer_pensylvanicum',Striped_maple',100,20,12,1.06,3.000,0.44,0.15,0.316,828,2030,3233,1,4,4,2,2,3,3,0,0.01,1,1,0.31,0.78,ACERpens
1,Acer',5,Acer_spicatum',Mountain_maple',60,20,9,0.76,3.000,0.47,0.15,0.316,388,1551,2712,1,4,3,2,2,3,3,0,0.01,1,1,0.31,0.78,ACERspic
1,Acer',6,Acer_macrophyllum',Bigleaf_maple',200,152,37,0.47,3.000,0.44,0.15,0.316,1323,2546,3769,2,3,3,2,2,3,3,0,0.1,10,1,0.31,0.78,ACERmacr
1,Acer',7,Acer_circinatum',Vine_maple',100,30,12,0.71,3.000,0.44,0.15,0.316,828,2030,3233,1,3,3,2,2,3,3,0,0.01,1,1,0.31,0.78,ACERcirc
1,Acer',8,Acer_glabrum',Rocky_Mountain_maple',100,20,9,0.76,2.571,0.50,0.15,0.316,388,1551,2712,2,3,4,2,2,3,3,0,0.01,1,1,0.31,0.78,ACERglab
1,Acer',9,Acer_nigrum',Black_maple',200,122,37,0.58,3.000,0.52,0.15,0.316,828,2451,4074,2,4,4,2,2,3,3,0,0.01,10,1,0.31,0.78,ACERnigr
1,Acer',10,Acer_platanoides',Norway_maple',150,91,30,0.63,3.000,0.53,0.15,0.316,828,2451,4074,1,3,4,2,2,3,3,0,1,10,0,0.31,0.78,ACERplat
2,Aesculus',1,Aesculus_octandra',Yellow_buckeye',100,216,63,0.70,2.424,0.33,0.15,0.316,3052,3563,4074,2,5,4,3,2,4,3,0,0.01,1,1,0.31,0.78,AESCocta
2,Aesculus',2,Aesculus_glabra',Ohio_buckeye',100,91,21,0.43,3.000,0.36,0.15,0.316,2030,3563,5096,3,4,3,3,2,4,3,0,0.01,1,1,0.31,0.78,AESCglab
3,Carya',1,Carya_cordiformis',Bitternut_hickory',200,122,52,1.16,2.222,0.6,0.15,0.316,2030,3634,5238,3,3,5,2,2,3,1,0,0.01,1,1,0.31,0.78,CARYcord
3,Carya',2,Carya_glabra',Pignut_hickory',300,148,38,0.73,1.108,0.66,0.15,0.316,2030,4521,7011,3,4,6,2,3,3,2,0,0.01,1,1,0.31,0.78,CARYglab
3,Carya',3,Carya_ovata',Shagbark_hickory',300,112,40,0.90,1.161,0.64,0.15,0.316,2030,4047,6064,3,4,6,2,3,4,2,0,0.01,1,1,0.31,0.78,CARYovat
